thematic,mkey,osmtype,osm_id,lat,lon,place,abandoned:place,name,other_tags
Localities,place=village,n,1156246086,-6.6811111,22.9925,village,,Badianana,"""name""=>""Badianana"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2010/04/21"", ""is_in:territoire""=>""Dimbelenge"""
Localities,place=hamlet,n,6894339231,-5.9355413,28.4682718,hamlet,,,"""place""=>""hamlet"""
Localities,place=locality,n,6451578414,-10.8847251,25.1969719,locality,,Kakula,"""name""=>""Kakula"", ""place""=>""locality"""
Localities,place=village,n,1156254772,-5.6019444,22.0575,village,,Tshimuanga,"""name""=>""Tshimuanga"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2010/04/21"", ""is_in:territoire""=>""Kazumba"""
Localities,place=village,n,4966369692,-6.666667,20.9,village,,Shakawa,"""name""=>""Shakawa"", ""place""=>""village"", ""source""=>""RGC"""
Localities,place=town,n,945262176,-3.4925965,21.3772071,town,,Dekese,"""name""=>""Dekese"", ""is_in""=>""Congo-Kinshasa"", ""place""=>""town"""
Localities,place=village,n,663345296,-7.906889,30.355222,village,,Mukinduzi,"""name""=>""Mukinduzi"", ""place""=>""village"", ""source""=>""www.rgc.cd;survey"", ""is_in:groupement""=>""Muliro"", ""is_in:territoire""=>""Moba"", ""is_in:collectivité""=>""Manda"""
Localities,place=village,n,1161079634,-5.1308128,17.990643,village,,Kibwimba,"""name""=>""Kibwimba"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2008/12/15"", ""is_in:groupement""=>""Katembo"", ""is_in:territoire""=>""Masi Manimba"", ""is_in:collectivité""=>""Masi Manimba"""
Localities,place=hamlet,n,4563659106,-6.5751546,23.3317034,hamlet,,,"""place""=>""hamlet"", ""source""=>""Bing"""
Localities,place=town,n,620495904,4.2003388,22.8113112,town,,Monga,"""name""=>""Monga"", ""place""=>""town"""
Localities,place=village,n,1154806616,-4.0272026,19.4915863,village,,Ipanga,"""name""=>""Ipanga"", ""place""=>""village"", ""source""=>""Image satellite"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2008/06/26"", ""is_in:groupement""=>""Menki"", ""is_in:territoire""=>""Idiofa"", ""is_in:collectivité""=>""Kapia"""
Localities,place=village,n,1161447612,-4.77271,18.99648,village,,Tango Idiofa,"""name""=>""Tango Idiofa"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2008/11/15"", ""is_in:groupement""=>""Tango Gomena"", ""is_in:territoire""=>""Bulungu"", ""is_in:collectivité""=>""Imbongo"""
Localities,place=village,n,6705173113,-4.8619589,26.9065288,village,,,"""place""=>""village"""
Localities,place=village,n,1074118858,-0.070001,29.396717,village,,Mavono,"""name""=>""Mavono"", ""pcode""=>""99001918"", ""place""=>""village"", ""source""=>""www.rgc.cd;survey"", ""is_in:groupement""=>""Isale Kasongwere"", ""is_in:territoire""=>""Oicha"", ""is_in:collectivité""=>""Bashu"""
Localities,place=isolated_dwelling,n,4888161852,1.75126,28.1988707,isolated_dwelling,,,"""place""=>""isolated_dwelling"""
Localities,place=village,n,5721894300,2.4243223,19.144907,village,,Busu-Ngai,"""name""=>""Busu-Ngai"", ""place""=>""village"""
Localities,place=village,n,4516792059,3.5743231,19.2569897,village,,Bobakutu,"""name""=>""Bobakutu"", ""place""=>""village"", ""source""=>""RGC"""
Localities,place=hamlet,n,4863481582,-5.6213103,28.8585524,hamlet,,,"""place""=>""hamlet"""
Localities,place=village,n,4443642357,-8.3545473,28.9852682,village,,Mpemba,"""name""=>""Mpemba"", ""place""=>""village"""
Localities,place=village,n,1160969827,-3.4659433,29.1091048,village,,Muheta_2,"""name""=>""Muheta_2"", ""place""=>""village"""
Localities,place=suburb,n,748782507,-5.8302925,13.4666199,suburb,,Bruxelles Sud,"""name""=>""Bruxelles Sud"", ""is_in""=>""Matadi"", ""place""=>""suburb"""
Localities,place=village,n,1161448816,-4.17459,19.3918,village,,Itere Mbang,"""name""=>""Itere Mbang"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2009/05/13"", ""is_in:groupement""=>""Bangoli"", ""is_in:territoire""=>""Idiofa"", ""is_in:collectivité""=>""Bulwem"""
